ID_questionnaire;civilite;diplome;promo;admission;nationalite1;FR/UE/HUE;Age;FormComp;DeaMsc;Doctorat;DESSMBA;AutresForm;LieuForm;SitPro;RecchEmp;RecchAutre;NbExp;NbreEmp;AnnRef;TypEntrep;CreaEnt;Dirigeant;EntIndep;TailEntrp;TaGrpe;LieuTra;EntrFra;Pays;Rep;NbEnc;Activité principale employeur;AutAct;Société;Fonction;FonctAut;DomAct;DomActAut;Poste;Mission;AnnSal;SalBrut;SalVar;SalPart;SalAvant;Aspi;Atouts;Freins
704;2;3;11;1;FRANCE;FR;47;1;1;;;;2;1;;;20;7;2009;1;1;1;1;1;;2;;;3;3;6;;2DEGO;11;;8;;Directeur Général - Associé;Missions de Conseils auprès des Entreprises en Ressources Humaines et Systèmes d'Information.;2008;100 000;0;40 000;0;1;Réseau de connaissances.  Expérience et connaissance du monde des Télécommunications et Systèmes d'information.  Capacités commerciales.;lourdeur et frilosité des banques.  Poids des charges sociales sur le bilan.  Nouveauté du métier de conseil par rapport à la direction générale de groupes internationaux.
788;2;3;13;6;FRANCE;FR;48;2;;;;;;1;;;22;2;2009;1;2;;2;5;7;1;;;3;8;1;;AASTRA FRANCE;10;;6;;Directeur Général;Responsabilité P&L de l'entreprise AASTRA FRANCE;2008;180 000;42 000;2 000;10 000;1;Double formation technique + gestion  Opportunités liées à des hommes ou des contextes société;Les mêmes en fait, les hommes ou les situations peuvent bloquer une progression très facilement.
208;2;3;21;1;FRANCE;FR;37;1;;;;1;1;1;;;10;6;2009;1;2;2;2;8;8;3;;12;1;1;11;;ABN AMRO;13;;4;;Investment Specialist;Conseiller notre clientele, elaborer des strategies, structurer des investissements;2008;80 000;0;10 000;;2;Expertise en finance, rigueur et qualite de presentation;parcours precedent, age
30;2;3;29;1;FRANCE;FR;29;2;;;;;;1;;;5;1;2009;1;2;2;1;7;;4;2;13;2;7;6;;Accenture;11;;8;;Consultant en systèmes d'information;Responsable d'un projet de maintenance offshore;2008;57 000;0;0;0;2;;
1161;2;3;29;2;ITALIE;UE;31;2;;;;;;1;;;6;1;2009;1;2;1;1;7;;1;;;5;4;6;;Accenture;11;;8;;Consultant expérimenté en systèmes d'information;Mise en place de systèmes d'informations;2008;52 000;0;3 000;0;3;capacité d'adaptation face à problématiques très différentes;changements trop récurrents, contraintes business qui empêchent de réaliser un bon travail
1052;1;3;31;1;FRANCE;FR;26;2;;;;;;1;;;3;1;2009;1;2;2;1;8;;1;;;1;2;6;;Accenture;11;;5;;Consultant;Appui dans la préparation et la mise en oeuvre de la fusion de 2 entreprises;2009;50 640;0;5 000;0;2;Réactivité   Capacité d'adaptation   Rigueur;
300;2;3;29;1;FRANCE;FR;29;2;;;;;;1;;;5;2;2009;1;2;2;1;8;;4;2;4;1;2;6;;Accenture;11;;6;;consultant;support d'un operateur UK majeur pour le deploiment sa solution de call center NGN;2008;50 000;3 000;5 000;300;2;;
986;1;3;31;1;FRANCE;FR;27;2;;;;;;1;;;4;1;2009;1;2;2;2;8;8;1;;;;2;6;;Accenture;14;;8;;Consultant;;2008;50 000;;5 000;1 000;3;;
388;2;1;31;9;FRANCE;FR;27;2;;;;;;1;;;3;1;2009;1;2;2;2;8;8;1;;;4;3;6;;Accenture;11;;8;;Consultant senior;Definir les besoins clients en terme de process  Les mettre en place d'un point de vue Système d'Information;;50 000;;5 000;1 000;2;Persévérance  Diplôme;Marché peu propice
299;2;3;28;4;FRANCE;FR;33;1;;;2008;2003;1;1;;;3;1;2009;1;2;2;2;8;8;1;;;4;1;6;;Accenture;11;;4;;Consultant;Formaliser les besoins client  Y répondre;2008;49 000;0;2 500;2 500;3;La persévérance;La crise de 2002 dans les télécoms
297;2;3;31;1;FRANCE;FR;27;2;;;;;;1;;;3;1;2009;1;2;2;1;8;;1;;;4;1;6;;Accenture;12;;4;;Consulant expérimenté en management et gestion de la perfomance financière,;Assister nos client dans la mise en oeuvre et la conduite de leur projet et faire d'eux des entreprises plus performantes,;2008;54 000;2 200;4 500;2 500;1;Proactivité, Sérieux, Orgnaisation, Optimisme, Professionnalisme, Rigueur, Sens du Service Client, Ecoute, Empathie;
